Station,Latitude,Longitude,Elevation,2024-11-21_g,2024-11-21_sd
AP001,34.07895,-106.92083,1453,979165211,1.8
ESC-E06,34.12036,-106.88629,1406.87,979185865.33,1.84
ESC-W05,34.12036,-106.88629,1408.45,979185388.02,1.83
ESC02,34.12034,-106.88834,1407.72,979185142.57,1.83
ESC03,34.1203,-106.88751,1408.14,979185196.89,1.83
ESC08,34.12043,-106.88618,1407.01,979185798.59,1.84
ESC10,34.12054,-106.88632,1406.73,979185898.97,1.83
ESC14,34.12048,-106.88613,1406.75,979186017.83,1.84
ESC16,34.12066,-106.88588,1406.72,979186116.9,1.84
ESC17,34.12071,-106.88564,1046.96,979186177.79,1.83
ESC21,34.12103,-106.88468,1406.31,979186792.22,1.84
ESC22,34.12111,-106.88444,1406.86,979186892.16,1.84
ESC23,34.1203,-106.88674,1408.14,979185634.88,1.84
