Easting,Easting,Northing,Elevation,feb_grav(microGal),feb_std,mar_grav(microGal),mar_std,del_grav_feb_mar(microGal),del_storage_feb_mar(m),del_storage_feb_mar_std
AP001,3772574.558,322775.063,1448.45,979165211,2.12,979165211,3.78,0,0,0.103434672595972
ESC-E06,3777102.853,326036.646,1407.7,979185868.01,2.17,979185870.21,3.81,2.20000004768372,0.0525059677251484,0.10464516118565
ESC-W05,3777115.305,325922.558,1407.517,979185387.08,2.17,979185397.54,3.85,10.4599999189377,0.249642002838608,0.10547576021351
ESC02,3777107.745,325861.595,1407.397,979185147.54,2.17,979185156.23,3.86,8.69000005722046,0.207398569384737,0.105683737406348
ESC03,3777110.684,325881.865,1407.516,979185198.84,2.19,979185205.14,3.85,6.29999995231628,0.150357994088694,0.105710951837146
ESC04,3777111.706,325901.032,1407.575,979185292.7,2.19,979185302.21,3.86,9.50999999046326,0.226968973519409,0.105918467218287
ESC08,3777113.168,326026.167,1407.733,979185800.51,2.17,979185800.17,3.81,-0.340000033378601,-0.00811455926917902,0.10464516118565
ESC10,3777120.663,326036.08,1407.608,979185900.59,2.17,979185904.32,3.81,3.73000001907349,0.0890214801688183,0.10464516118565
ESC14,3777122.708,326054.247,1407.406,979186019.56,2.17,979186020.43,3.81,0.870000004768372,0.0207637232641616,0.10464516118565
ESC16,3777131.56,326078.388,1407.48,979186118.59,2.17,979186120.97,3.81,2.37999999523163,0.0568019091940723,0.10464516118565
ESC17,3777138.621,326101.524,1407.669,979186179.67,2.17,979186182.56,3.81,2.88999998569489,0.0689737466752956,0.10464516118565
ESC21,3777179.538,326187.374,1405.837,979186792.04,2.17,979186796.65,3.81,4.61000001430512,0.11002386668986,0.10464516118565
ESC22,3777187.99,326216.216,1406.831,979186894.47,2.17,979186901.27,3.83,6.79999995231628,0.162291168313038,0.105060197196936
ESC23,3777096.646,326002.075,1407.901,979185636.9,2.17,979185639.6,3.81,2.70000004768372,0.064439141949492,0.10464516118565
