Station,Easting,Northing,Elevation,jan_grav(microGal),jan_std,feb_grav(microGal),feb_std,del_grav_jan_feb(microGal),del_storage_jan_feb(m),del_storage_jan_feb_std
AP001,3772574.558,322775.063,1453,979165211,2.81,979165211,2.12,0,0,0.0840098855493268
ESC-E06,3777102.853,326036.646,1406.87,979185864.18,2.83,979185868.01,2.17,3.83000004291534,0.0914081155827051,0.0851122305967428
ESC10,3777120.663,326036.08,1406.73,979185900.19,2.84,979185900.59,2.17,0.399999976158142,0.00954653881045685,0.0853017483051096
ESC14,3777122.708,326054.247,1406.75,979186018.66,2.84,979186019.56,2.17,0.899999976158142,0.0214797130348005,0.0853017483051096
ESC16,3777131.56,326078.388,1406.72,979186117.1,2.83,979186118.59,2.17,1.49000000953674,0.0355608594161514,0.0851122305967428
ESC17,3777138.621,326101.524,1046.96,979186177.24,2.84,979186179.67,2.17,2.42999994754791,0.0579952254784705,0.0853017483051096
ESC21,3777179.538,326187.374,1406.31,979186790.81,2.83,979186792.04,2.17,1.23000001907349,0.0293556090470999,0.0851122305967428
ESC22,3777187.99,326216.216,1406.86,979186894.24,2.83,979186894.47,2.17,0.230000019073486,0.00548926059841256,0.0851122305967428
ESC23,3777096.646,326002.075,1408.14,979185638.68,2.83,979185636.9,2.17,-1.77999997138977,-0.0424820995558418,0.0851122305967428
