Station,Easting,Northing,Elevation,nov_grav(microGal),nov_std,feb_grav(microGal),feb_std,del_grav_nov_feb(microGal),del_grav_nov_feb_std,del_storage_nov_feb(m),del_storage_nov_feb_std
AP001,3772574.558,322775.063,1448.45,979165211,1.8,979165211,2.12,0,2.78107892732299,0,0.0834599073297297
ESC-E06,3777102.853,326036.646,1407.7,979185865.33,1.84,979185868.01,2.17,2.67999994754791,2.84508347856438,0.0639618125906423,0.0853981836967824
ESC-W05,3777115.305,325922.558,1407.517,979185388.02,1.83,979185387.08,2.17,-0.939999938011169,2.83862642839807,-0.0224343660623191,0.0852757020711042
ESC02,3777107.745,325861.595,1407.397,979185142.57,1.83,979185147.54,2.17,4.96999990940094,2.83862642839807,0.118615749627707,0.0852757020711042
ESC03,3777110.684,325881.865,1407.516,979185196.89,1.83,979185198.84,2.19,1.95000004768372,2.85394463856607,0.0465393806129765,0.0858561823930854
ESC08,3777113.168,326026.167,1407.733,979185798.59,1.84,979185800.51,2.17,1.91999995708466,2.84508347856438,0.0458233879972472,0.0853981836967824
ESC10,3777120.663,326036.08,1407.608,979185898.97,1.83,979185900.59,2.17,1.62000000476837,2.83862642839807,0.0386634846006771,0.0852757020711042
ESC14,3777122.708,326054.247,1407.406,979186017.83,1.84,979186019.56,2.17,1.7299998998642,2.84508347856438,0.0412887804263531,0.0853981836967824
ESC16,3777131.56,326078.388,1407.48,979186116.9,1.84,979186118.59,2.17,1.69000005722046,2.84508347856438,0.040334130243925,0.0853981836967824
ESC17,3777138.621,326101.524,1407.669,979186177.79,1.83,979186179.67,2.17,1.87999999523163,2.83862642839807,0.0448687349697286,0.0852757020711042
ESC21,3777179.538,326187.374,1405.837,979186792.22,1.84,979186792.04,2.17,-0.180000066757202,2.84508347856438,-0.00429594431401437,0.0853981836967824
ESC22,3777187.99,326216.216,1406.831,979186892.16,1.84,979186894.47,2.17,2.31000006198883,2.84508347856438,0.0551312663959148,0.0853981836967824
ESC23,3777096.646,326002.075,1407.901,979185634.88,1.84,979185636.9,2.17,2.01999998092651,2.84508347856438,0.048210023411134,0.0853981836967824
